TEXT,LABEL
Dont forget you can place as many FREE Requests with 1stchoice.co.uk as you wish.,spam
"you exist present with a £2000 bonus prize, call 09066364529",smishing
TRY 3 FOR FREE!,spam
"wan2 acquire a meet+greet with westlife 4 u or a m8? they embody currently on what tour? 1)unbreakable, 2)untamed, 3)unkempt. text 1,2 or 3 to 83049. cost 50p +std text",spam
call now on 0207 153 9996. offer stop 14thmarch.,smishing
Sorry * was at the grocers.,ham
I tot they juz say oni... Ok then...,ham
So catch the world with your smile..:) GOODMORNING &amp; HAVE A SMILEY SUNDAY..:),ham
Cant Guess who?,smishing
Will you remember to kiss your mom in the morning?,ham
mobile internet ka full fayda.,spam
remove txtx or end,spam
payment will exist taken automatically out of your account.,smishing
you embody being rend off! bring your mobile content from www.clubmoby.com call 08717509990 poly/true/pix/ringtones/games six downloads for only 3,spam
am new 2 club & dont blackleg we meet yet will b gr8 2 c u please leave msg 2day wiv ur area 09099726553 reply promised carlie x calls£1/minmobsmore lkpobox177hp51fl,spam
"Please call our customer service representative on 7679046492 between 10am-9pm as you have W0N a guaranteed cash prize of Rs.7,00,000. FL1PKART TEAM",smishing
K..then come wenever u lik to come and also tel vikky to come by getting free time..:-),ham
How goes you day ?,ham
He however said he would make the rest available by mid feb.,ham
reminder: you ingest not download the content you ingest already paid for.,smishing
if your number matches please phone 09063442151 to arrogate your £350 award,smishing
Press 0 key for Arcade.,spam
dear dave this embody your final notice to collect your 4* tenerife holiday or #5000 cash award! call 09061743806 from landline. tcs sae box326 cw25wx 150ppm,smishing
Just sing HU.,ham
	We tried to call you re your reply to our sms for a video mobile 750 mins UNLIMITED TEXT + free camcorder Reply of call 08000930705 Now,smishing
I never realized that you were so embarassed by your accomodations.,ham
This is the 2nd attempt to contact U!U have WON £1250 CALL 09071512433 b4 050703 T&CsBCM4235WC1N3XX.,smishing
please call our customer service representative on freephone 0808 145 4744 between 9am-11pm as you have won a guaranteed £3000 cash or £7000 prize!,smishing
auction embody free 2 join & take part!,spam
great news! call freefone 08006344447 to claim your guaranteed £1000 cash or £2000 gift. speak to a live operator now!,smishing
xmas reward embody look for you!,smishing
He got ask me abt ur reaction lor.,ham
"But, the toughest is acting Happy with all unspoken pain inside..""",ham
freemsg why haven't you replied to my text? i'm female and live local. luv to listen from u. netcollex ltd 08700621170150p per msg reply stop to end,smishing
"I'm taking sq825, reaching ard 7 smth 8 like dat.",ham
call free now on 0800 0721072 to feel out more!,smishing
"After 3 Free, Msgs £1.50 each",spam
c t&c @kiosk.,spam
"dear v0daf0ne customer,you embody a 5,00,000 winner of guaranteed caller prize, this embody our final attempt to contact you! to arrogate call 7679046492 now!",smishing
"welcome to uk-mobile-date this msg equal free yield you free calling to 08719839835. future mgs billed at 150p daily. to delete send ""go stop"" to 89123",spam
Just getting back home,ham
Your KeralaCircle prepaid account balance is Rs.101.00 ; .,ham
Yes ammae....life takes lot of turns you can only sit and try to hold the steering...,ham
Text MATCH to 69969 Msg cost 150p 2 stop txt stop BCMSFWC1N3XX,spam
if you ingest a match please call 8536074310 cite claim code 4041 standard rates apply,smishing
If 5 answers r d same then someone really loves u. .,ham
THE BIRD + ANTELOPE BEGIN TOPLAY IN THE FIELDOF SELFINDEPENDENCE BELIEVE THIS + THE FLOWER OF CONTENTION WILL GROW.RANDOM!,ham
On you or in you?,ham
do you like traveling?,ham
"dear customer, due to bvn system upgrade, your atm card has exist de-activated by cbn.",smishing
Apple has detected an unauthorized sign-in to your Cloud account.,smishing
Ok... But they said i've got wisdom teeth hidden inside n mayb need 2 remove.,ham
i want to grasp your pretty booty :),ham
So why didnt you holla?,ham
Sorry. You never hear unless you book it. One was kinda a joke--thet were really looking for skinny white girls. The other was one line--you can only do so much on camera with that. Something like that they're casting on the look.,ham
Yup... I havent been there before... You want to go for the yoga? I can call up to book,ham
"New Theory: Argument wins d SITUATION, but loses the PERSON. So dont argue with ur loved ones�.",ham
you let won! as a treasure vodafone customer our computer possess cull you to succeed a £550 prize. to gather just call 09061743389,smishing
"you personify grant with a £1500 bonus prize, call 09066368470",smishing
to arrogate bid 09071517866 now!,smishing
Ha ha ha good joke.,ham
"u were outbid by simonwatson5120 on the shinco dvd plyr. 2 bid again, visit sms. ac/smsrewards 2 end bid notifications, answer end out",spam
"Wil u only use this one,ta.",ham
Mm umma ask vava also to come tell him can play later together,ham
you constitute present a sipix digital camera!,smishing
Good morning pookie pie! Lol hope I didn't wake u up,ham
Send STOP FRND to 62468,spam
"So why wouldn't THAT be the time to clean, fold laundry, etc.?",ham
Reply Toll Free with Yes or No.,ham
call 08718738001 identifier code: 49557 pass 26/11/04,smishing
Where are you ? You said you would be here when I woke ... :-(,ham
Hello my little party animal!,ham
In life when you face choices Just toss a coin not becoz its settle the question But while the coin in the air U will know what your heart is hoping for.,ham
his loss is my gain :) so do you work?,ham
more people equal dog in your area now.,spam
Urgent! Please call 09061213237 from a landline. £5000 cash or a 4* holiday await collection. T &Cs SAE PO Box 177 M227XY. 16+,smishing
We have to meet up soon.,ham
jamster! to experience your free wallpaper text heart to 88888 now! t&c apply. 16 only. need help? call 08701213186.,spam
Call Free 0800 1956668,smishing
	I'd like to tell you my deepest darkest fantasies. Call me 09094646631 just 60p/min. To stop texts call 08712460324 (nat rate),smishing
Well. Balls. Time to make calls,ham
If i start sending blackberry torch to nigeria will you find buyer for me?like 4a month.,ham
18 days to euro2004 kickoff! u will embody restrain informed of all the latest news and results daily. unsubscribe send get euro stop to 83222.,spam
Why nothing. Ok anyway give me treat,ham
At WHAT TIME should i come tomorrow.,ham
Happy birthday... Wish u all the happiness in your life,ham
free entry in 2 a weekly comp for a chance to win an ipod. txt pod to 80182 to nonplus entry (std txt rate) t&c's apply 08452810073 for details 18+,spam
I actually did for the first time in a while.,ham
"Dear V0DAF0NE Customer,You are a 5,00,000 winner of Guaranteed Caller Prize, this is our Final attempt to contact you!",smishing
"urgent! your mobile no 077xxx advance a £2,000 bonus caller prize on 02/06/03! this exist the 2nd attempt to attain you! yell 09066362206 asap! box97n7qp, 150ppm",smishing
rediscover the deeper meaning of life and the means to reach true peace.,spam
"freemsg why haven't you answer to my text? i'm randy, sexy, female and live local. luv to listen from u. netcollex ltd 08700621170150p per msg reply cease to end",spam
Call 09066660100 NOW.,smishing
Lol ok ill try to send. Be warned Sprint is dead slow. You'll prolly get it tomorrow,ham
"You are a £1000 winner or Guaranteed Caller Prize, this is our Final attempt to contact you!",smishing
He remains a bro amongst bros,ham
miss call alert. these numbers bid but left no message. 07008009200,smishing
"convey 3 lions england tone, reply lionm 4 mono or lionp 4 poly. 4 more go 2 www.ringtones.co.uk, the original n best.",spam
